item	label	code	codeLabel
http://www.wikidata.org/entity/Q24260	كانيلو	AD-02	ar
http://www.wikidata.org/entity/Q24260	Канильо	AD-02	bg
http://www.wikidata.org/entity/Q24260	ক্যানিল্লো	AD-02	bn
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	ca
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	ceb
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	cs
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	da
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	de
http://www.wikidata.org/entity/Q24260	Κανίλιο	AD-02	el
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	en
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	es
http://www.wikidata.org/entity/Q24260	Canillo vald	AD-02	et
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	eu
http://www.wikidata.org/entity/Q24260	کانیلو	AD-02	fa
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	fi
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	fr
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	gl
http://www.wikidata.org/entity/Q24260	કેનિલો	AD-02	gu
http://www.wikidata.org/entity/Q24260	קאנילו	AD-02	he
http://www.wikidata.org/entity/Q24260	कनिल्लो पल्ली	AD-02	hi
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	hr
http://www.wikidata.org/entity/Q24260	Canillo közösség	AD-02	hu
http://www.wikidata.org/entity/Q24260	Կանիլո	AD-02	hy
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	id
http://www.wikidata.org/entity/Q24260	parrocchia di Canillo	AD-02	it
http://www.wikidata.org/entity/Q24260	カニーリョ教区	AD-02	ja
http://www.wikidata.org/entity/Q24260	კანილო	AD-02	ka
http://www.wikidata.org/entity/Q24260	ಕ್ಯಾನಿಲ್ಲೊ	AD-02	kn
http://www.wikidata.org/entity/Q24260	카닐료	AD-02	ko
http://www.wikidata.org/entity/Q24260	Kaniljas	AD-02	lt
http://www.wikidata.org/entity/Q24260	Kaniljo	AD-02	lv
http://www.wikidata.org/entity/Q24260	Каниљу	AD-02	mk
http://www.wikidata.org/entity/Q24260	कॅनिलो	AD-02	mr
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	ms
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	nl
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	pl
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	pt
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	ro
http://www.wikidata.org/entity/Q24260	Канильо	AD-02	ru
http://www.wikidata.org/entity/Q24260	කැනිලෝ	AD-02	si
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	sk
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	sl
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	sq
http://www.wikidata.org/entity/Q24260	Канило	AD-02	sr
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	sv
http://www.wikidata.org/entity/Q24260	காணிலோ	AD-02	ta
http://www.wikidata.org/entity/Q24260	కానిలో	AD-02	te
http://www.wikidata.org/entity/Q24260	เขตกานิลยู	AD-02	th
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	tr
http://www.wikidata.org/entity/Q24260	Канільйо	AD-02	uk
http://www.wikidata.org/entity/Q24260	کانیلو	AD-02	ur
http://www.wikidata.org/entity/Q24260	Canillo	AD-02	vi
http://www.wikidata.org/entity/Q24260	卡尼略	AD-02	zh
http://www.wikidata.org/entity/Q24269	انكامب	AD-03	ar
http://www.wikidata.org/entity/Q24269	Енкам	AD-03	bg
http://www.wikidata.org/entity/Q24269	একেম্প	AD-03	bn
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	ca
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	ceb
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	cs
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	da
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	de
http://www.wikidata.org/entity/Q24269	Ενκάμ	AD-03	el
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	en
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	es
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	eu
http://www.wikidata.org/entity/Q24269	انکمپ	AD-03	fa
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	fi
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	fr
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	gl
http://www.wikidata.org/entity/Q24269	એન્કેમ્પ	AD-03	gu
http://www.wikidata.org/entity/Q24269	אנקאם	AD-03	he
http://www.wikidata.org/entity/Q24269	एन्कम्प पल्ली	AD-03	hi
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	hr
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	hu
http://www.wikidata.org/entity/Q24269	Էնկամպ	AD-03	hy
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	id
http://www.wikidata.org/entity/Q24269	parrocchia di Encamp	AD-03	it
http://www.wikidata.org/entity/Q24269	アンカム教区	AD-03	ja
http://www.wikidata.org/entity/Q24269	ენკამპი	AD-03	ka
http://www.wikidata.org/entity/Q24269	ಎನ್ಕಾಂಪ್	AD-03	kn
http://www.wikidata.org/entity/Q24269	엥캄	AD-03	ko
http://www.wikidata.org/entity/Q24269	Enkampas	AD-03	lt
http://www.wikidata.org/entity/Q24269	Enkampa	AD-03	lv
http://www.wikidata.org/entity/Q24269	Анкам	AD-03	mk
http://www.wikidata.org/entity/Q24269	एन्कॅम्प	AD-03	mr
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	ms
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	nl
http://www.wikidata.org/entity/Q24269	Encamp	AD-03	pl
